country,year,total_population,population_density
Afghanistan,2019,38041757,58.269
Albania,2019,2880913,105.143
Algeria,2019,43053054,18.076
Andorra,2019,77146,164.14
Angola,2019,31825299,25.528
Antigua and Barbuda,2019,97115,220.716
Argentina,2019,44780675,16.363
Armenia,2019,2957728,103.889
Aruba,2019,10631,590.611
Australia,2019,252032,3.281
Austria,2019,8955108,108.667
Azerbaijan,2019,10047719,121.558
Bahamas,2019,389486,38.91
Bahrain,2019,1641164,2159.426
Bangladesh,2019,163046173,1252.563
Barbados,2019,287021,667.491
Belarus,2019,9452409,46.584
Belgium,2019,11539326,381.087
Belize,2019,390351,17.113
Benin,2019,11801151,104.657
Bhutan,2019,763094,20.02
Bolivia,2019,11513102,10.628
Bosnia and Herzegovina,2019,3300998,64.725
Botswana,2019,2303703,4.065
Brazil,2019,211049519,25.251
Brunei,2019,433296,82.219
Bulgaria,2019,7000117,64.482
Burkina Faso,2019,20321383,74.274
Burundi,2019,11530577,449.01
Cabo Verde,2019,549936,136.461
Cambodia,2019,16486542,93.398
Cameroon,2019,25876387,54.741
Canada,2019,37411038,4.114
Cayman Islands,2019,64948,270.617
Central African Republic,2019,4745179,7.617
Chad,2019,15946882,12.664
Channel Islands,2019,172264,906.653
Chile,2019,18952035,25.489
China,2019,1433783692,152.722
Hong Kong,2019,7436157,7082.054
Macau,2019,640446,21419.599
Taiwan,2019,23773881,671.389
Colombia,2019,50339443,45.371
Comoros,2019,850891,457.222
Congo,2019,5380504,15.756
Costa Rica,2019,5047561,98.855
Croatia,2019,4130299,73.808
Cuba,2019,11333484,106.478
Cyprus,2019,1198574,129.716
Czech Republic,2019,10689213,138.39
Ivory Coast,2019,25716554,80.87
Denmark,2019,5771877,136.033
Djibouti,2019,973557,42
Dominica,2019,71808,95.744
Dominican Republic,2019,10738957,222.247
Ecuador,2019,17373657,69.954
Egypt,2019,100388076,100.847
El Salvador,2019,645355,311.465
Equatorial Guinea,2019,1355982,48.342
Eritrea,2019,3497117,34.625
Estonia,2019,1325649,31.273
Eswatini,2019,1148133,66.752
Ethiopia,2019,112078727,112.079
Faroe Islands,2019,48677,34.869
Fiji,2019,889955,48.711
Finland,2019,5532159,18.204
France,2019,65129731,118.946
French Guiana,2019,290823,3.538
Gabon,2019,2172578,8.432
Gambia,2019,2347696,231.986
Georgia,2019,3996762,57.516
Germany,2019,83517046,239.606
Ghana,2019,30417858,133.681
Gibraltar,2019,33706,3370.6
Greece,2019,10473452,81.253
Greenland,2019,5666,0.138
Grenada,2019,112002,329.418
Guadeloupe,2019,400048,245.73
Guam,2019,167295,309.806
Guatemala,2019,17581476,164.068
Guinea,2019,12771246,51.975
Guinea-Bissau,2019,1920917,68.311
Guyana,2019,782775,3.977
Haiti,2019,11263079,408.675
Vatican City,2019,815,1852.273
Honduras,2019,9746115,87.104
Hungary,2019,968468,106.978
Iceland,2019,339037,3.382
India,2019,1366417756,459.58
Indonesia,2019,270625567,149.387
Iran,2019,82913893,50.913
Iraq,2019,39309789,90.509
Ireland,2019,4882498,70.874
Israel,2019,8519373,393.686
Italy,2019,60550092,205.855
Jamaica,2019,2948277,272.232
Japan,2019,126860299,347.987
Jordan,2019,10101697,113.783
Kazakhstan,2019,18551428,6.872
Kenya,2019,52573967,92.374
Kosovo,2019,1810366,159
Kuwait,2019,4207077,236.087
Kyrgyzstan,2019,6415851,33.451
Laos,2019,7169456,31.064
Latvia,2019,190674,30.655
Lebanon,2019,6855709,670.157
Liberia,2019,4937374,51.26
Libya,2019,6777453,3.852
Liechtenstein,2019,3802,237.625
Lithuania,2019,2759631,44.032
Luxembourg,2019,61573,237.734
Madagascar,2019,26969306,46.355
Malawi,2019,18628749,197.59
Malaysia,2019,31949789,97.245
Maldives,2019,530957,1769.857
Mali,2019,19658023,16.111
Malta,2019,440377,1376.178
Martinique,2019,375557,354.299
Mauritania,2019,4525698,4.391
Mauritius,2019,126967,625.453
Mayotte,2019,266153,709.741
Mexico,2019,127575529,65.627
Monaco,2019,38967,26152.349
Mongolia,2019,3225166,2.076
Montenegro,2019,627988,46.691
Morocco,2019,36471766,81.72
Mozambique,2019,30366043,38.615
Myanmar,2019,54045422,82.728
Namibia,2019,2494524,3.03
Nepal,2019,28608715,199.572
Netherlands,2019,17097123,507.032
New Zealand,2019,4783062,18.165
Nicaragua,2019,6545503,54.392
Niger,2019,23310719,18.403
Nigeria,2019,200963603,220.652
North Macedonia,2019,2083458,82.611
Norway,2019,5378859,14.726
Oman,2019,4974992,16.074
Pakistan,2019,216565317,280.933
Panama,2019,424644,57.122
Papua New Guinea,2019,8776119,19.379
Paraguay,2019,7044639,17.731
Peru,2019,32510462,25.399
Philippines,2019,108116622,362.601
Poland,2019,37887771,123.723
Portugal,2019,10226178,111.652
Puerto Rico,2019,2933404,330.711
Qatar,2019,2832071,243.934
South Korea,2019,51225321,526.847
Moldova,2019,4043258,123.082
Romania,2019,19364558,84.132
Russia,2019,14587226,8.907
Rwanda,2019,12626938,511.834
Saint Kitts and Nevis,2019,52834,203.208
Saint Lucia,2019,182795,299.664
Saint Vincent and the Grenadines,2019,110593,283.572
San Marino,2019,33864,564.4
Sao Tome and Principe,2019,215048,224.008
Saudi Arabia,2019,34268529,15.941
Senegal,2019,16296362,84.643
Serbia,2019,8772228,100.3
Seychelles,2019,97741,212.48
Sierra Leone,2019,7813207,108.246
Singapore,2019,5804343,8291.919
Slovakia,2019,5457012,113.48
Slovenia,2019,2078654,103.21
Somalia,2019,15442906,24.616
South Africa,2019,58558267,48.272
South Sudan,2019,11062114,18.106
Spain,2019,46736782,93.698
Sri Lanka,2019,21323734,340.037
West Bank and Gaza,2019,4981422,827.479
Sudan,2019,42813237,24.256
Suriname,2019,581363,3.727
Sweden,2019,10036391,24.459
Switzerland,2019,8591361,217.415
Syria,2019,17070132,92.959
Tajikistan,2019,9321023,66.598
Thailand,2019,69625581,136.283
Timor-Leste,2019,129312,86.962
Togo,2019,8082359,148.6
Trinidad and Tobago,2019,1394969,271.924
Tunisia,2019,11694721,75.275
Turkey,2019,83429607,108.402
Uganda,2019,44269587,221.558
Ukraine,2019,43993643,75.94
UAE,2019,9770526,116.872
UK,2019,67530161,279.131
Tanzania,2019,58005461,65.484
US,2019,329064917,35.974
Uruguay,2019,3461731,19.779
Uzbekistan,2019,32981715,77.531
Venezuela,2019,28515829,32.329
Vietnam,2019,96462108,311.098
Western Sahara,2019,582458,2.19
Yemen,2019,29161922,55.234
Zambia,2019,17861034,24.026
Zimbabwe,2019,14645473,37.858
